UID,Start Time,Start Lat,Start Long,Stop Time,Stop Lat,Stop Long
b134df59,24/04/2019 20:57:29,45.4158,-134.2417,24/04/2019 20:59:38,41.0972,-125.0087
8f61f5f5,24/04/2019 21:01:39,36.371,-117.5068,24/04/2019 21:03:47,30.8428,-110.592
838c40e1,24/04/2019 21:05:48,25.2821,-104.8465,24/04/2019 21:07:56,19.1216,-99.3603
d45ec9f9,24/04/2019 21:09:57,13.1481,-94.5963,24/04/2019 21:12:05,6.72,-89.8312
b5b2f534,24/04/2019 21:14:05,0.5958,-85.4603,24/04/2019 21:16:14,-5.9036,-80.8338
30ef6430,24/04/2019 21:18:14,-11.9845,-76.3645,24/04/2019 21:20:22,-18.3213,-71.3812
cf906f19,24/04/2019 21:22:23,-24.15,-66.297,24/04/2019 21:24:32,-30.0875,-60.3258
d94daaf8,24/04/2019 21:26:32,-35.3529,-53.9675,24/04/2019 21:28:41,-40.455,-46.214
e3e31287,24/04/2019 21:30:41,-44.6383,-37.7583,24/04/2019 21:32:50,-48.1954,-27.4192
65cc0bb3,24/04/2019 21:34:51,-50.487,-16.4584,24/04/2019 21:36:59,-51.58,-3.9207
4254e15a,24/04/2019 21:39:00,-51.2438,8.0816,24/04/2019 21:41:08,-49.4812,20.2177
b75d9c4f,24/04/2019 21:43:08,-46.6467,30.6082,24/04/2019 21:45:16,-42.6383,40.2634
5d6da38a,24/04/2019 21:47:17,-38.1319,48.134,24/04/2019 21:49:26,-32.7757,55.3728
c03385e7,24/04/2019 21:51:26,-27.3398,61.3483,24/04/2019 21:53:35,-21.2714,67.0181
080e32ac,24/04/2019 21:55:35,-15.3621,71.8976,24/04/2019 21:57:44,-8.9539,76.7531
499ff653,24/04/2019 21:59:45,-2.8469,81.1526,24/04/2019 22:01:53,3.6592,85.7697
ba18e5d2,24/04/2019 22:03:54,9.7621,90.1863,24/04/2019 22:06:02,16.1636,95.0818
0e50cae7,24/04/2019 22:08:03,22.0607,100.0205,24/04/2019 22:08:10,22.3839,100.3077
56bd0870,24/04/2019 22:17:17,45.0457,131.4439,24/04/2019 22:19:25,48.5034,141.9553
f585cf89,24/04/2019 22:21:26,50.6733,153.0706,24/04/2019 22:23:34,51.6098,165.717
d1698f15,24/04/2019 22:25:35,51.1128,177.7396,24/04/2019 22:27:43,49.1784,-170.1668
9a5af440,24/04/2019 22:29:44,46.2021,-159.8957,24/04/2019 22:31:52,42.0637,-150.3744
895cf056,24/04/2019 22:33:53,37.4611,-142.63,24/04/2019 22:36:01,32.0256,-135.5055
029d5a32,24/04/2019 22:38:02,26.53,-129.6128,24/04/2019 22:40:11,20.4138,-124.0089
1bccb969,24/04/2019 22:42:11,14.471,-119.1721,24/04/2019 22:44:19,8.0543,-114.355
40c43381,24/04/2019 22:46:20,1.938,-109.9675,24/04/2019 22:48:29,-4.5704,-105.3454
3cb3bcae,24/04/2019 22:50:29,-10.6668,-100.9081,24/04/2019 22:52:38,-17.0403,-95.9813
f0caeb3a,24/04/2019 22:54:38,-22.9043,-90.9921,24/04/2019 22:56:46,-28.8859,-85.174
fe6e7132,24/04/2019 22:58:47,-34.2312,-78.9886,24/04/2019 23:00:55,-39.4534,-71.4624
dc22a941,24/04/2019 23:02:56,-43.7828,-63.2712,24/04/2019 23:05:04,-47.5392,-53.2535
2f0c8883,24/04/2019 23:07:05,-50.0782,-42.5351,24/04/2019 23:09:13,-51.4737,-30.1349
8f2b434b,24/04/2019 23:11:14,-51.4325,-18.1044,24/04/2019 23:13:22,-49.9573,-5.7655
089c83f6,24/04/2019 23:15:23,-47.3539,4.8817,24/04/2019 23:17:31,-43.5378,14.8306
500f23fe,24/04/2019 23:19:32,-39.1658,22.955,24/04/2019 23:21:40,-33.9182,30.4097
31d7be70,24/04/2019 23:23:41,-28.5518,36.5488,24/04/2019 23:25:50,-22.5366,42.346
9ad14936,24/04/2019 23:27:50,-16.665,47.3069,24/04/2019 23:29:58,-10.3003,52.204
2aad1a4b,24/04/2019 23:31:59,-4.2025,56.6314,24/04/2019 23:34:07,2.3006,61.2478
3a6acde8,24/04/2019 23:36:08,8.4167,65.6423,24/04/2019 23:38:16,14.82,70.4667
6d4d6692,24/04/2019 23:40:17,20.7488,75.319,24/04/2019 23:42:25,26.8479,80.9498
c2b15850,24/04/2019 23:48:32,42.1767,101.6157,24/04/2019 23:50:39,46.2806,111.1368
83b0ebc3,24/04/2019 23:53:46,50.3882,127.5562,24/04/2019 23:55:55,51.5604,140.1054
56fc18d9,24/04/2019 23:57:56,51.2915,152.1619,25/04/2019 00:00:04,49.5805,164.4062
7d02cd55,25/04/2019 00:02:05,46.7805,174.8825,25/04/2019 00:04:13,42.8003,-175.3937
a4466506,25/04/2019 00:06:13,38.3037,-167.4567,25/04/2019 00:08:22,32.9477,-160.1607
e51c68eb,25/04/2019 00:10:22,27.5092,-154.1473,25/04/2019 00:12:31,21.4385,-148.4508
e8592d46,25/04/2019 00:14:31,15.5239,-143.5523,25/04/2019 00:16:39,9.1259,-138.6948
85278554,25/04/2019 00:18:40,3.013,-134.2867,25/04/2019 00:20:49,-3.4983,-129.6659
4b745490,25/04/2019 00:22:49,-9.6051,-125.2506,25/04/2019 00:24:58,-16.0045,-120.3661
3f554831,25/04/2019 00:26:59,-21.9019,-115.4417,25/04/2019 00:29:07,-27.9275,-109.7266
f5a95597,25/04/2019 00:31:07,-33.3285,-103.6754,25/04/2019 00:33:16,-38.6372,-96.3276
cec4045f,25/04/2019 00:35:16,-43.0792,-88.3351,25/04/2019 00:37:25,-47.0018,-78.5186
640d81b2,25/04/2019 00:39:26,-49.7242,-67.9959,25/04/2019 00:41:34,-51.3473,-55.7293
1e38f472,25/04/2019 00:43:35,-51.5343,-43.7062,25/04/2019 00:45:43,-50.2938,-31.2742
873317af,25/04/2019 00:47:43,-47.8789,-20.4279,25/04/2019 00:49:52,-44.2188,-10.2392
a4f655b5,25/04/2019 00:51:53,-39.9621,-1.916,25/04/2019 00:54:01,-34.7999,5.7229
d0ca03e5,25/04/2019 00:56:02,-29.5012,11.9867,25/04/2019 00:58:10,-23.5446,17.8788
cdaf1085,25/04/2019 01:00:11,-17.6998,22.9144,25/04/2019 01:02:19,-11.3349,27.8767
75f227fd,25/04/2019 01:04:20,-5.25,32.3264,25/04/2019 01:06:27,1.2335,36.9352
a97b48fa,25/04/2019 01:08:28,7.3523,41.3117,25/04/2019 01:10:37,13.7871,46.1096
2621762f,25/04/2019 01:12:37,19.7385,50.9013,25/04/2019 01:14:45,25.8564,56.421
d7d7890f,25/04/2019 01:16:46,31.3839,62.2283,25/04/2019 01:18:54,36.8705,69.2368
36ca7281,25/04/2019 01:20:55,41.5384,76.8422,25/04/2019 01:21:22,42.5038,78.7058
5f6761db,25/04/2019 01:23:42,46.878,89.3208,25/04/2019 01:25:50,49.7789,100.5031
8f10e4c8,25/04/2019 01:27:51,51.3185,112.0983,25/04/2019 01:29:23,51.6154,121.3016
8cadd76b,25/04/2019 01:30:04,51.4959,125.3834,25/04/2019 01:32:13,50.1446,137.8445
d60a98bc,25/04/2019 01:34:13,47.6331,148.6352,25/04/2019 01:36:22,43.8873,158.7352
8e550321,25/04/2019 01:38:22,39.5614,166.9815,25/04/2019 01:40:30,34.351,174.5336
97878d3e,25/04/2019 01:42:31,29.0016,-179.249,25/04/2019 01:44:39,23.0171,-173.4095
a3d0f0fe,25/04/2019 01:46:40,17.1469,-168.4038,25/04/2019 01:48:48,10.7806,-163.4752
42885e27,25/04/2019 01:50:49,4.6856,-159.0352,25/04/2019 01:52:57,-1.8226,-154.4125
94420546,25/04/2019 01:54:58,-7.9397,-150.0268,25/04/2019 01:57:06,-14.3642,-145.2096
edf231e1,25/04/2019 01:59:07,-20.3009,-140.387,25/04/2019 02:01:15,-26.4068,-134.8088
20a028f1,25/04/2019 02:03:16,-31.8972,-128.9459,25/04/2019 02:05:24,-37.3319,-121.8626
82b7e8ca,25/04/2019 02:07:25,-41.936,-114.1755,25/04/2019 02:09:33,-46.0877,-104.7261
d37cfe6a,25/04/2019 02:11:34,-49.0882,-94.5363,25/04/2019 02:13:42,-51.0621,-82.5528
70868f45,25/04/2019 02:15:43,-51.6165,-70.5845,25/04/2019 02:17:51,-50.7495,-57.9572
1eccf3ea,25/04/2019 02:19:52,-48.6456,-46.8256,25/04/2019 02:22:00,-45.25,-36.2686
84828e8a,25/04/2019 02:24:01,-41.1846,-27.6172,25/04/2019 02:26:09,-36.1722,-19.6804
c3d28a26,25/04/2019 02:28:10,-30.9712,-13.189,25/04/2019 02:30:18,-25.0823,-7.1098
1679154a,25/04/2019 02:32:19,-19.2897,-1.9555,25/04/2019 02:34:27,-12.9618,3.0908
35375e8f,25/04/2019 02:36:28,-6.8937,7.5874,25/04/2019 02:38:36,-0.4163,12.2107
4496397b,25/04/2019 02:40:37,5.7126,16.5725,25/04/2019 02:42:45,12.1708,21.32
88f290db,25/04/2019 02:44:46,18.1574,26.028,25/04/2019 02:46:54,24.3306,31.4157
4b2efa86,25/04/2019 02:48:55,29.935,37.0528,25/04/2019 02:51:03,35.521,43.8049
c915405e,25/04/2019 02:53:04,40.3357,51.1268,25/04/2019 02:55:12,44.7834,60.1379
46fa05ea,25/04/2019 02:57:13,48.1334,69.9059,25/04/2019 02:59:21,50.559,81.586
eb617884,25/04/2019 03:01:22,51.5748,93.45,25/04/2019 03:03:30,51.1936,106.2139
7d704a12,25/04/2019 03:05:31,49.4971,117.699,25/04/2019 03:06:00,48.8976,120.3738
7216dd6e,25/04/2019 03:08:19,45.2652,131.9191,25/04/2019 03:10:27,40.9222,141.085
712adb59,25/04/2019 03:12:28,36.1736,148.5467,25/04/2019 03:14:37,30.6232,155.4322
f478cd87,25/04/2019 03:16:37,25.0559,161.1469,25/04/2019 03:18:46,18.8867,166.6138
3b1df71a,25/04/2019 03:20:46,12.9114,171.3626,25/04/2019 03:22:55,6.4557,176.1378
61455d8e,25/04/2019 03:24:56,0.3275,-179.492,25/04/2019 03:27:04,-6.1588,-174.872
d5e517de,25/04/2019 03:29:04,-12.2397,-170.3935,25/04/2019 03:31:13,-18.576,-165.3927
09b68211,25/04/2019 03:33:13,-24.3956,-160.2902,25/04/2019 03:35:22,-30.3231,-154.2883
7c45bf4b,25/04/2019 03:37:22,-35.5721,-147.8946,25/04/2019 03:39:30,-40.6342,-140.1221
93e4ae70,25/04/2019 03:41:31,-44.7897,-131.6179,25/04/2019 03:43:39,-48.3075,-121.2271
e58868b8,25/04/2019 03:45:40,-50.5539,-110.2239,25/04/2019 03:47:49,-51.5923,-97.6562
910e83b7,25/04/2019 03:49:49,-51.2012,-85.6494,25/04/2019 03:51:58,-49.3783,-73.5193
fbc7abb8,25/04/2019 03:53:59,-46.4989,-63.1837,25/04/2019 03:56:07,-42.4469,-53.5751
cd719cfe,25/04/2019 03:58:08,-37.916,-45.7599,25/04/2019 04:00:16,-32.556,-38.5853
0cb7e8d4,25/04/2019 04:02:16,-27.1044,-32.6369,25/04/2019 04:04:24,-21.0478,-27.0094
29c79f97,25/04/2019 04:06:25,-15.1356,-22.1463,25/04/2019 04:08:33,-8.7317,-17.3058
00a4bfe3,25/04/2019 04:10:34,-2.6239,-12.9107,25/04/2019 04:12:42,3.884,-8.2919
7d14f9b4,25/04/2019 04:14:43,9.9845,-3.871,25/04/2019 04:16:51,16.3802,1.0327
ab1b5fb0,25/04/2019 04:18:52,22.2694,5.9839,25/04/2019 04:21:00,28.2883,11.7462
23a46d88,25/04/2019 04:23:01,33.6776,17.859,25/04/2019 04:25:09,38.9471,25.2656
03e82024,25/04/2019 04:27:09,43.3564,33.3533,25/04/2019 04:29:17,47.2154,43.2514
14ddd4bd,25/04/2019 04:31:18,49.8723,53.8826,25/04/2019 04:33:26,51.4061,66.2511
4db5f29e,25/04/2019 04:35:27,51.4932,78.3283,25/04/2019 04:37:35,50.1407,90.7563
19e78350,25/04/2019 04:39:36,47.628,101.5413,25/04/2019 04:41:44,43.877,111.6471
34163f33,25/04/2019 04:44:46,37.1262,123.6386,25/04/2019 04:46:54,31.6748,130.6814
f3eb4691,25/04/2019 04:48:55,26.1613,136.5273,25/04/2019 04:51:03,20.0367,142.0909
50c9e01e,25/04/2019 04:53:04,14.0872,146.9038,25/04/2019 04:55:12,7.648,151.7189
e2296340,25/04/2019 04:57:13,1.5263,156.1027,25/04/2019 04:59:21,-4.9654,160.7155
7cd809bf,25/04/2019 05:01:22,-11.0539,165.1589,25/04/2019 05:03:30,-17.4219,170.1058
d4745605,25/04/2019 05:05:31,-23.2768,175.1234,25/04/2019 05:07:39,-29.2596,-178.999
ba28f56c,25/04/2019 05:09:40,-34.5772,-172.7657,25/04/2019 05:11:48,-39.7616,-165.174
1be297dc,25/04/2019 05:13:49,-44.0479,-156.902,25/04/2019 05:15:57,-47.7498,-146.769
b5b157b3,25/04/2019 05:17:58,-50.2116,-135.9784,25/04/2019 05:20:07,-51.5136,-123.5345
8a1e785e,25/04/2019 05:22:07,-51.381,-111.5104,25/04/2019 05:24:16,-49.813,-99.2155
31b2e9e7,25/04/2019 05:26:16,-47.1361,-88.6499,25/04/2019 05:28:25,-43.2552,-78.7874
28859363,25/04/2019 05:30:25,-38.8423,-70.7492,25/04/2019 05:32:34,-33.5592,-63.3631
28228cc3,25/04/2019 05:34:34,-28.1702,-57.2766,25/04/2019 05:36:42,-22.1562,-51.5369
a90d484c,25/04/2019 05:38:43,-16.2671,-46.5967,25/04/2019 05:40:51,-9.8917,-41.715
2d223e6e,25/04/2019 05:42:52,-3.7927,-37.2981,25/04/2019 05:45:00,2.7138,-32.6804
afe2e516,25/04/2019 05:47:01,8.8259,-28.28,25/04/2019 05:49:09,15.2277,-23.4357
7f41d5e4,25/04/2019 05:51:10,21.151,-18.5547,25/04/2019 05:53:18,27.2343,-12.8855
187e4d5d,25/04/2019 05:55:19,32.6875,-6.9088,25/04/2019 05:57:27,38.065,0.3354
c9639c96,25/04/2019 05:59:28,42.5929,8.2178,25/04/2019 06:01:37,46.6266,17.9072
00d528fa,25/04/2019 06:03:38,49.4742,28.3248,25/04/2019 06:05:46,51.247,40.5345
801d266b,25/04/2019 06:07:47,51.5777,52.5807,25/04/2019 06:09:54,50.4738,65.1273
ba8ee483,25/04/2019 06:11:55,48.1642,76.1158,25/04/2019 06:13:22,45.8457,83.3001
0cb4897b,25/04/2019 06:22:46,22.8816,116.0465,25/04/2019 06:24:54,16.6547,121.3262
ba0beb8d,25/04/2019 06:26:54,10.6378,125.9649,25/04/2019 06:29:02,4.1832,130.6575
44af43cd,25/04/2019 06:31:03,-1.9485,135.0105,25/04/2019 06:33:11,-8.44,139.6719
c3480b78,25/04/2019 06:35:12,-14.4872,144.2196,25/04/2019 06:37:20,-20.7827,149.3602
209dd78c,25/04/2019 06:39:21,-26.525,154.6412,25/04/2019 06:41:29,-32.3351,160.9028
4fe8f5c5,25/04/2019 06:43:30,-37.4336,167.6205,25/04/2019 06:45:38,-42.2886,175.8427
9b89863e,25/04/2019 06:47:39,-46.1628,-175.1854,25/04/2019 06:49:48,-49.2923,-164.2951
e7e4bf04,25/04/2019 06:51:49,-51.0922,-152.923,25/04/2019 06:53:57,-51.6021,-140.2324
cddeb19d,25/04/2019 06:55:57,-50.7145,-128.357,25/04/2019 06:58:05,-48.4205,-116.6179
